Unnamed: 0,brand,model,price,engine,year,mileage,fuel,gearbox,location,car_age,price_per_km,brand_classification,log_price,log_mileage
206,Opel,Mokka,10990,1.7 CDTi 4X2 S&S Excellence,2014,90000,Diésel,Manual,Sabadell 3,11,0.12211111111111111,economy,9.3048320350689,11.407576060361786
209,SEAT,Exeo,9990,ST 2.0 TDI CR 120 CV Style Ecomotive,2013,112200,Diésel,Manual,Sabadell 3,12,0.08903743315508021,economy,9.209439966733019,11.628047184686986
211,Toyota,Yaris,9990,1.3 100 Feel,2017,95200,Gasolina,Manual,Sabadell 3,8,0.10493697478991597,economy,9.209439966733019,11.463745724925968
212,Renault,Megane,15990,Sp. Tourer GT Line En. TCe 97kW (130CV),2017,55603,Gasolina,Manual,Esplugas,8,0.28757441145261947,economy,9.679781342959442,10.926010420096983
213,SEAT,Arona,14990,1.0 TSI 70kW (95CV) Style Ecomotive,2018,43451,Gasolina,Manual,Esplugas,7,0.34498630641412165,economy,9.615205300012315,10.67941215955364
215,SEAT,Leon,15990,ST 2.0 TDI 150cv DSG-6 St&Sp FR,2014,143065,Diésel,Automatica,Esplugas,11,0.11176737846433439,economy,9.679781342959442,11.871061341227467
216,Peugeot,2008,14990,Allure 1.2 PureTech 81KW (110CV)S&S EAT6,2018,86700,Gasolina,Automatica,Granollers,7,0.17289504036908881,economy,9.615205300012315,11.370220696727491
217,SEAT,Tarraco,25990,1.5 TSI 110kW (150CV) St&Sp Style Plus,2019,25000,Gasolina,Manual,Granollers,6,1.0396,economy,10.165505603232393,10.12667110305036
219,SEAT,Leon,18490,2.0 TDI 110kW (150CV) DSG-6 St&Sp FR,2018,86390,Diésel,Automatica,Sabadell 2,7,0.21402940155110545,economy,9.825039406206987,11.366638782699756
220,SEAT,Ibiza,11990,1.0 EcoTSI 70kW (95CV) Reference,2017,55195,Gasolina,Manual,Sabadell 2,8,0.2172298215418063,economy,9.391911647379432,10.918645765871444
221,Peugeot,208,9490,5P ACCESS 1.2L PureTech 82,2016,68720,Gasolina,Manual,Sabadell 2,9,0.13809662398137368,economy,9.158099260130491,11.137810108356684
222,Renault,Megane,14990,GT Line Energy dCi 96kW (130CV),2018,110150,Diésel,Manual,Sabadell 2,7,0.13608715388107126,economy,9.615205300012315,11.609607430718558
223,BMW,X5,27990,xDrive30d,2016,195000,Diésel,Automatica,Sabadell 2,9,0.14353846153846153,luxury,10.239638308916676,12.180759965737863
224,BMW,Serie 4,24990,420d Gran Coupe,2017,94370,Diésel,Automatica,Sabadell 2,8,0.26480873158842855,luxury,10.126271039034782,11.454989101547133
225,Opel,Astra,11490,1.6 CDTi 110 CV Selective,2016,103056,Diésel,Manual,Hospitalet,9,0.1114927806241267,economy,9.349319399257633,11.543037512201789
226,Volkswagen,T-Roc,21430,Advance R-Line 1.0 TSI 81kW (110CV),2021,15600,Gasolina,Manual,Sabadell 1,4,1.3737179487179487,economy,9.972593750934676,9.655090293747248
229,Opel,Combo Tour,10930,Tour Selective 1.6CDTI 70kW (95CV) L1 H1,2017,102000,Diésel,Manual,Sabadell 1,8,0.10715686274509804,economy,9.299358068293834,11.532737896139919
231,Honda,CR-V,16210,1.6 i-DTEC 88kW (120CV) 4x2 Eleg P Nav P,2016,92000,Diésel,Manual,Sabadell 1,9,0.17619565217391303,economy,9.693445303141573,11.42955472553732
233,Ford,Focus,19990,1.0 Ecoboost 92kW ST-Line Auto SportBr,2019,53400,Gasolina,Automatica,Hospitalet,6,0.3743445692883895,economy,9.903037451255743,10.885584751364705
234,Hyundai,ix35,12990,1.7 CRDi Kosmo Sky 4x2,2014,56800,Diésel,Manual,Badalona,11,0.22869718309859155,economy,9.472012088995733,10.947309210188068
236,BMW,Serie 4,24990,418d Gran Coupe,2017,37197,Diésel,Manual,Gavá,8,0.6718283732559077,luxury,10.126271039034782,10.524010275375073
237,BMW,Serie 3,20490,318d,2017,37833,Diésel,Automatica,Gavá,8,0.5415906748077075,luxury,9.927741044336832,10.540963448225607
